views,link_name,link,publ_time,topic
20808,"Титул ""Мисс Вселенная"" выиграла американка филиппинского происхождения",https://informburo.kz/novosti/titul-miss-vselennaya-vyigrala-amerikanka-filippinskogo-proishozhdeniya,"15 января 2023, 11:43",#фото
11159,В Алматы тушат пожар на складах в Жетысуском районе,https://informburo.kz/novosti/v-almaty-tusat-pozar-na-skladax-v-zetysuskom-raione,"15 января 2023, 10:59",#видео
3909,"В Минобороны России заявили, что Украина готовит провокацию со взрывом зернохранилища",https://informburo.kz/novosti/v-minoborony-rossii-zayavili-chto-ukraina-gotovit-provokaciyu-so-vzryvom-zernohranilisha,"15 января 2023, 10:34",#неонас
390,В Казахстане за сутки зарегистрировали 70 случаев заражения коронавирусом,https://informburo.kz/novosti/v-kazahstane-za-sutki-zaregistrirovali-70-sluchaev-zarazheniya-koronavirusom,"15 января 2023, 09:46",#цифра
970,"Казахстан выиграл ""золото"" на Универсиаде-2023 в Лейк-Плэсиде",https://informburo.kz/novosti/kazaxstan-vyigral-zoloto-na-universiade-2023-v-leik-pleside,"15 января 2023, 09:13",#видео
17014,Что происходит в Украине. Главное к утру 15 января,https://informburo.kz/novosti/cto-proisxodit-v-ukraine-glavnoe-k-utru-15-yanvarya,"15 января 2023, 08:31",#неонас
595,Стрельба возле церкви в центре Лондона: в числе шестерых пострадавших – двое детей,https://informburo.kz/novosti/strelba-vozle-cerkvi-v-centre-londona-v-chisle-shesteryh-postradavshih-dvoe-detej,"15 января 2023, 08:02",#неонас
887,Гражданина Великобритании казнили в Иране за шпионаж,https://informburo.kz/novosti/grazhdanina-velikobritanii-kaznili-v-irane-za-shpionazh,"15 января 2023, 04:30",#неонас
1275,"Два человека погибли, шестеро пострадали в аварии на трассе Семей – Усть-Каменогорск",https://informburo.kz/novosti/dva-celoveka-pogibli-sestero-postradali-v-avarii-na-trasse-semei-ust-kamenogorsk,"15 января 2023, 00:06",#официально
705,Китай заявил о 60 000 умерших от Covid-19 за месяц,https://informburo.kz/novosti/kitai-zayavil-o-60-000-umersix-ot-covid-19-za-mesyac,"14 января 2023, 23:28",#цифра
6301,В Алматы предотвратили угрозу подтопления по руслу реки Аксай,https://informburo.kz/novosti/v-almaty-predotvratili-ugrozu-podtopleniya-po-ruslu-reki-aksai,"14 января 2023, 22:25",#официально
5302,В Алматы устранили аварию на 50-летнем трубопроводе. Водоснабжение восстановят к полуночи,https://informburo.kz/novosti/v-almaty-ustranili-avariyu-na-50-letnem-truboprovode-vodosnabzenie-vosstanovyat-k-polunoci,"14 января 2023, 21:50",#назаметку
1607,Что происходит в Украине. Главное за день 14 января,https://informburo.kz/novosti/cto-proisxodit-v-ukraine-glavnoe-za-den-14-yanvarya,"14 января 2023, 21:20",#неонас
449,В Шардаре из-за взрыва газового баллона обрушился частный дом. Погибла женщина,https://informburo.kz/novosti/v-sardare-iz-za-vzryva-gazovogo-ballona-obrusilsya-castnyi-dom-pogibla-zenshhina,"14 января 2023, 21:06",#фото
638,Прогноз погоды на 15 января: на севере и востоке Казахстана ожидается низовая метель,https://informburo.kz/novosti/prognoz-pogody-na-15-yanvarya-na-severe-i-vostoke-kazahstana-ozhidaetsya-nizovaya-metel,"14 января 2023, 21:00",#назаметку
1481,МАЭК прокомментировал рассылку об отключении воды и отопления в Актау,https://informburo.kz/novosti/maek-prokommentiroval-rassylku-ob-otklyucenii-vody-i-otopleniya-v-aktau,"14 января 2023, 20:25",#официально
398,Производители люксовых авто заявили о рекордах продаж в 2022 году,https://informburo.kz/novosti/proizvoditeli-lyuksovyx-avto-zayavili-o-rekordax-prodaz-v-2022-godu,"14 января 2023, 19:30",#кстати
7483,Полиция Алматы прокомментировала поджог автомобиля журналиста Динары Егеубаевой,https://informburo.kz/novosti/policiya-almaty-prokommentirovala-podzhog-avtomobilya-zhurnalista-dinary-egeubaevoj,"14 января 2023, 18:51",#официально
342,В Жезказгане со стройки украли трубы на 11 млн тенге,https://informburo.kz/novosti/v-zhezkazgane-so-strojki-ukrali-truby-na-11-mln-tenge,"14 января 2023, 18:43",#официально
10991,Умерла российская актриса Инна Чурикова,https://informburo.kz/novosti/umerla-rossiiskaya-aktrisa-inna-curikova,"14 января 2023, 18:12",Написать автору
20396,Украина и Россия впервые обсудили обмен пленными по процедуре репатриации,https://informburo.kz/novosti/ukraina-i-rossiya-vpervye-obsudili-obmen-plennymi-po-procedure-repatriacii,"14 января 2023, 17:49",#неонас
3938,Население Узбекистана ежедневно увеличивается на 2100 человек,https://informburo.kz/novosti/naselenie-uzbekistana-ezhednevno-uvelichivaetsya-na-2100-chelovek,"14 января 2023, 16:55",#неонас
